linea,estacion,oldName,newName,nombre
Línea C,Diagonal Norte,A 2,A2,A2
Línea C,Diagonal Norte,A 3,A3,A3
Línea B,Callao,A1,,A1
Línea B,De Los Incas Parque Chas,A1,,A1
Línea B,Echeverría,A1,,A1
Línea B,Juan Manuel de Rosas Villa Urquiza,A1,,A1
Línea B,Tronador Villa Ortúzar,A1,,A1
Línea B,Uruguay,A1,,A1
Línea C,Constitución,A1,,A1
Línea C,Retiro,A1,,A1
Línea E,Catalinas,A1,,A1
Línea E,Correo Central,A1,,A1
Línea E,Retiro,A1,,A1
Línea H,Caseros,A1,,A1
Línea H,Córdoba,A1,,A1
Línea H,Corrientes,A1,,A1
Línea H,Facultad de Derecho,A1,,A1
Línea H,Hospitales,A1,,A1
Línea H,Humberto 1°,A1,,A1
Línea H,Inclán Mezquita Al Ahmad,A1,,A1
Línea H,Las Heras,A1,,A1
Línea H,Once – 30 de Diciembre,A1,,A1
Línea H,Parque Patricios,A1,,A1
Línea H,Santa Fe - Carlos Jáuregui,A1,,A1
Línea H,Venezuela,A1,,A1
Línea B,Callao,A2,,A2
Línea B,De Los Incas Parque Chas,A2,,A2
Línea B,Echeverría,A2,,A2
Línea B,Juan Manuel de Rosas Villa Urquiza,A2,,A2
Línea B,Tronador Villa Ortúzar,A2,,A2
Línea B,Uruguay,A2,,A2
Línea C,Constitución,A2,,A2
Línea E,Catalinas,A2,,A2
Línea E,Correo Central,A2,,A2
Línea E,Retiro,A2,,A2
Línea H,Caseros,A2,,A2
Línea H,Córdoba,A2,,A2
Línea H,Corrientes,A2,,A2
Línea H,Facultad de Derecho,A2,,A2
Línea H,Hospitales,A2,,A2
Línea H,Humberto 1°,A2,,A2
Línea H,Inclán Mezquita Al Ahmad,A2,,A2
Línea H,Las Heras,A2,,A2
Línea H,Once – 30 de Diciembre,A2,,A2
Línea H,Parque Patricios,A2,,A2
Línea H,Santa Fe - Carlos Jáuregui,A2,,A2
Línea H,Venezuela,A2,,A2
Línea B,Callao,A3,,A3
Línea B,Echeverría,A3,,A3
Línea B,Juan Manuel de Rosas Villa Urquiza,A3,,A3
Línea B,Uruguay,A3,,A3
Línea C,Constitución,A3,,A3
